x	y	p
435	694	255
435	695	255
436	699	255
431	700	255
437	701	255
430	702	255
435	702	255
436	702	255
429	703	255
430	703	255
429	704	255
432	704	255
434	704	255
428	705	255
429	705	255
435	705	255
428	706	255
427	707	255
426	708	255
427	708	255
432	708	255
430	709	255
431	709	255
429	711	255
429	712	255
423	713	255
422	714	255
422	715	255
420	717	255
421	717	255
425	718	255
418	720	255
424	720	255
418	721	255
416	722	255
418	722	255
416	723	255
417	723	255
418	723	255
417	724	255
415	725	255
416	725	255
418	725	255
419	725	255
415	728	255
416	728	255
417	729	255
414	730	255
417	730	255
414	733	255
411	738	255
410	739	255
402	742	255
403	742	255
404	746	255
405	746	255
396	750	255
396	751	255
400	751	255
401	751	255
401	752	255
398	754	255
390	758	255
391	758	255
390	759	255
393	759	255
389	760	255
390	760	255
388	761	255
389	761	255
387	763	255
388	763	255
390	763	255
387	764	255
390	764	255
389	765	255
390	765	255
384	766	255
385	766	255
384	767	255
385	767	255
387	768	255
387	769	255
380	771	255
381	771	255
377	774	255
378	774	255
376	775	255
380	775	255
381	775	255
382	775	255
376	776	255
380	777	255
381	777	255
374	779	255
372	780	255
375	781	255
376	781	255
377	781	255
371	782	255
374	782	255
373	783	255
374	783	255
371	784	255
372	784	255
371	785	255
372	785	255
374	785	255
368	786	255
371	786	255
374	786	255
366	787	255
367	787	255
370	787	255
373	787	255
371	788	255
372	788	255
364	789	255
363	791	255
368	792	255
362	793	255
360	794	255
361	794	255
359	795	255
361	795	255
364	795	255
357	796	255
358	796	255
360	796	255
362	796	255
363	796	255
364	796	255
362	797	255
356	798	255
357	798	255
362	798	255
356	799	255
358	799	255
359	799	255
361	799	255
355	800	255
361	800	255
354	801	255
360	801	255
350	806	255
352	807	255
347	808	255
348	808	255
344	811	255
352	811	255
342	812	255
345	812	255
344	813	255
345	813	255
341	814	255
339	816	255
336	819	255
336	821	255
339	823	255
330	825	255
330	826	255
327	827	255
330	829	255
331	829	255
324	830	255
329	830	255
322	831	255
329	831	255
322	832	255
327	832	255
326	833	255
318	835	255
315	838	255
316	838	255
316	839	255
317	839	255
318	839	255
321	839	255
320	840	255
321	840	255
320	841	255
321	841	255
318	842	255
313	844	255
312	845	255
309	847	255
310	847	255
309	848	255
306	849	255
307	849	255
298	850	255
299	850	255
305	850	255
304	851	255
299	852	255
303	852	255
304	852	255
300	853	255
288	855	255
289	855	255
290	855	255
288	856	255
289	856	255
290	856	255
293	856	255
294	856	255
295	856	255
296	856	255
297	856	255
287	857	255
292	857	255
293	857	255
287	858	255
289	858	255
290	858	255
291	858	255
294	858	255
283	859	255
287	859	255
288	859	255
291	859	255
292	859	255
293	859	255
287	860	255
290	860	255
291	860	255
287	861	255
289	861	255
287	862	255
280	863	255
281	863	255
283	863	255
286	863	255
287	863	255
280	864	255
285	864	255
286	864	255
283	865	255
284	865	255
285	865	255
282	866	255
283	866	255
282	868	255
258	873	255
258	874	255
258	875	255
259	876	255
255	878	255
255	879	255
251	880	255
252	880	255
253	880	255
256	880	255
260	880	255
261	880	255
262	880	255
253	881	255
256	881	255
257	881	255
258	881	255
259	881	255
253	882	255
254	882	255
255	882	255
257	882	255
244	883	255
245	883	255
252	883	255
253	883	255
255	883	255
243	884	255
249	884	255
253	884	255
254	884	255
241	885	255
242	885	255
250	885	255
251	885	255
252	885	255
253	885	255
240	886	255
244	886	255
245	886	255
250	886	255
251	886	255
244	887	255
245	887	255
249	887	255
237	888	255
238	888	255
247	888	255
248	888	255
237	889	255
244	889	255
245	889	255
246	889	255
234	890	255
235	890	255
243	890	255
244	890	255
230	891	255
231	891	255
232	891	255
234	891	255
235	891	255
238	891	255
239	891	255
229	892	255
230	892	255
238	892	255
239	892	255
228	893	255
229	893	255
236	893	255
237	893	255
227	894	255
230	894	255
231	894	255
235	894	255
236	894	255
224	895	255
225	895	255
229	895	255
230	895	255
233	895	255
234	895	255
235	895	255
222	896	255
223	896	255
224	896	255
227	896	255
228	896	255
231	896	255
232	896	255
221	897	255
222	897	255
226	897	255
227	897	255
230	897	255
228	898	255
229	898	255
216	899	255
218	899	255
219	899	255
224	899	255
227	899	255
218	900	255
224	900	255
225	900	255
211	901	255
212	901	255
221	901	255
222	901	255
210	902	255
214	902	255
215	902	255
216	902	255
219	902	255
220	902	255
221	902	255
208	903	255
210	903	255
211	903	255
213	903	255
211	904	255
212	904	255
203	905	255
212	905	255
203	906	255
210	906	255
211	906	255
212	906	255
202	907	255
203	907	255
198	908	255
199	908	255
201	908	255
202	908	255
203	908	255
208	908	255
209	908	255
195	909	255
199	909	255
205	909	255
206	909	255
192	910	255
194	910	255
203	910	255
204	910	255
205	910	255
191	911	255
192	911	255
193	911	255
194	911	255
202	911	255
203	911	255
197	912	255
198	912	255
200	912	255
201	912	255
202	912	255
195	913	255
196	913	255
197	913	255
193	914	255
194	914	255
195	914	255
179	916	255
180	916	255
182	916	255
183	916	255
185	916	255
186	916	255
192	916	255
183	917	255
184	917	255
187	917	255
188	917	255
189	917	255
177	918	255
178	918	255
181	918	255
186	918	255
187	918	255
182	919	255
183	919	255
184	919	255
185	919	255
186	919	255
182	920	255
165	922	255
166	922	255
167	922	255
168	922	255
163	923	255
164	923	255
165	923	255
164	924	255
167	924	255
168	924	255
159	925	255
169	925	255
156	926	255
159	926	255
161	926	255
166	926	255
167	926	255
168	926	255
169	926	255
153	927	255
154	927	255
155	927	255
159	927	255
165	927	255
152	928	255
158	928	255
164	928	255
148	929	255
149	929	255
152	929	255
145	930	255
146	930	255
147	930	255
152	930	255
153	930	255
144	931	255
145	931	255
155	931	255
145	932	255
151	932	255
152	932	255
154	932	255
139	933	255
147	933	255
148	933	255
149	933	255
139	934	255
140	934	255
143	934	255
145	934	255
146	934	255
147	934	255
131	935	255
132	935	255
133	935	255
138	935	255
139	935	255
142	935	255
143	935	255
144	935	255
145	935	255
142	936	255
127	937	255
128	937	255
126	938	255
134	938	255
120	939	255
127	939	255
128	939	255
129	939	255
133	939	255
136	939	255
121	940	255
129	940	255
131	940	255
132	940	255
125	941	255
126	941	255
127	941	255
129	941	255
111	942	255
112	942	255
113	942	255
114	942	255
117	942	255
118	942	255
119	942	255
120	942	255
123	942	255
124	942	255
125	942	255
109	943	255
110	943	255
111	943	255
113	943	255
121	943	255
122	943	255
123	943	255
108	944	255
109	944	255
110	944	255
118	944	255
119	944	255
120	944	255
112	945	255
115	945	255
116	945	255
117	945	255
118	945	255
113	946	255
114	946	255
115	946	255
96	947	255
97	947	255
98	947	255
99	947	255
102	947	255
103	947	255
104	947	255
108	947	255
109	947	255
110	947	255
113	947	255
94	948	255
95	948	255
100	948	255
102	948	255
103	948	255
104	948	255
106	948	255
107	948	255
91	949	255
92	949	255
100	949	255
105	949	255
106	949	255
85	950	255
86	950	255
88	950	255
89	950	255
94	950	255
95	950	255
98	950	255
99	950	255
85	951	255
89	951	255
90	951	255
91	951	255
94	951	255
98	951	255
80	952	255
81	952	255
82	952	255
83	952	255
88	952	255
91	952	255
95	952	255
96	952	255
97	952	255
75	953	255
76	953	255
80	953	255
88	953	255
89	953	255
93	953	255
94	953	255
100	953	255
102	953	255
72	954	255
73	954	255
74	954	255
75	954	255
76	954	255
82	954	255
83	954	255
84	954	255
85	954	255
86	954	255
89	954	255
90	954	255
68	955	255
69	955	255
72	955	255
73	955	255
74	955	255
78	955	255
79	955	255
81	955	255
72	956	255
73	956	255
82	956	255
83	956	255
64	957	255
67	957	255
68	957	255
76	957	255
77	957	255
78	957	255
79	957	255
80	957	255
81	957	255
61	958	255
62	958	255
63	958	255
64	958	255
68	958	255
69	958	255
70	958	255
73	958	255
74	958	255
75	958	255
76	958	255
54	959	255
55	959	255
56	959	255
58	959	255
59	959	255
60	959	255
61	959	255
65	959	255
66	959	255
73	959	255
52	960	255
53	960	255
54	960	255
58	960	255
64	960	255
70	960	255
71	960	255
48	961	255
50	961	255
51	961	255
52	961	255
58	961	255
61	961	255
62	961	255
63	961	255
64	961	255
66	961	255
67	961	255
68	961	255
47	962	255
48	962	255
49	962	255
50	962	255
51	962	255
55	962	255
56	962	255
58	962	255
61	962	255
38	963	255
39	963	255
51	963	255
52	963	255
61	963	255
37	964	255
49	964	255
55	964	255
56	964	255
57	964	255
33	965	255
34	965	255
35	965	255
36	965	255
37	965	255
38	965	255
40	965	255
41	965	255
44	965	255
48	965	255
51	965	255
52	965	255
53	965	255
27	966	255
28	966	255
29	966	255
30	966	255
41	966	255
42	966	255
50	966	255
51	966	255
24	967	255
33	967	255
34	967	255
39	967	255
40	967	255
44	967	255
45	967	255
46	967	255
47	967	255
49	967	255
19	968	255
20	968	255
21	968	255
22	968	255
25	968	255
26	968	255
27	968	255
30	968	255
31	968	255
32	968	255
33	968	255
34	968	255
42	968	255
43	968	255
44	968	255
45	968	255
16	969	255
17	969	255
37	969	255
38	969	255
39	969	255
41	969	255
42	969	255
22	970	255
23	970	255
24	970	255
27	970	255
28	970	255
29	970	255
30	970	255
31	970	255
32	970	255
33	970	255
34	970	255
2	971	255
9	971	255
10	971	255
11	971	255
12	971	255
18	971	255
19	971	255
20	971	255
22	971	255
23	971	255
25	971	255
32	971	255
1	972	255
3	972	255
10	972	255
11	972	255
14	972	255
15	972	255
16	972	255
18	972	255
19	972	255
20	972	255
28	972	255
1	973	255
23	973	255
24	973	255
25	973	255
26	973	255
27	973	255
5	974	255
8	974	255
12	974	255
13	974	255
14	974	255
15	974	255
16	974	255
20	974	255
21	974	255
22	974	255
5	975	255
6	975	255
7	975	255
8	975	255
9	975	255
10	975	255
17	975	255
18	975	255
19	975	255
20	975	255
2	976	255
3	976	255
13	976	255
15	976	255
16	976	255
17	976	255
2	977	255
3	977	255
8	977	255
11	977	255
12	977	255
13	977	255
5	978	255
6	978	255
3	980	255
4	980	255
5	980	255
